,EmployeeID,Age,AvgDailyHours,Education,EducationField,Gender,WFH Setup Available,IsIndividualContributor,JobInvolvement,JobRole,MaritalStatus,Resource Allocation,MonthlyIncome,PercentSalaryHike,PerformanceRating,RemoteWorkSatistfaction,TotalWorkingYears,WorkLifeBalance,WorkLoadLevel,YearsAtCompany,Mental Fatigue Score,Burn Rate,Designation,HasFlexibleTimings,Company Type
4864,104865,22.0,7.11,3,Other,Female,Yes,Yes,3,Sales Representative,Married,5.0,1048,12,1,High,0.0,4,Medium,0.0,6.5,0.41,2,No,Service
4865,104866,53.0,6.72,5,Marketing,Male,No,Yes,2,Laboratory Technician,Divorced,6.0,291667,10,1,High,15.0,4,High,1.0,6.6,0.56,3,No,Product
4866,104867,24.0,7.39,3,Life Sciences,Female,Yes,Yes,3,Human Resources,Divorced,4.0,16667,20,3,Very Low,1.0,2,Medium,1.0,6.9,0.48,2,No,Product
4868,104869,58.0,7.29,1,Life Sciences,Male,Yes,Yes,1,Laboratory Technician,Single,4.0,58333,21,3,Medium,4.0,3,Medium,0.0,5.4,0.33,2,Yes,Service
4869,104870,59.0,9.42,1,Marketing,Female,No,No,2,Healthcare Representative,Divorced,8.0,6500000,7,1,Low,35.0,3,High,14.0,7.6,0.73,4,No,Service
4870,104871,44.0,7.29,2,Medical,Male,No,No,4,Sales Executive,Married,8.0,258333,17,3,Medium,17.0,2,Low,0.0,7.5,0.53,4,Yes,Service
4871,104872,45.0,7.11,4,Life Sciences,Female,Yes,Yes,2,Human Resources,Single,3.0,225000,16,4,Very Low,17.0,1,Medium,12.0,4.4,0.39,2,No,Product
4872,104873,30.0,10.99,4,Marketing,Female,No,Yes,1,Healthcare Representative,Divorced,5.0,58333,15,3,High,2.0,4,Low,1.0,7.8,0.61,3,No,Service
4873,104874,33.0,7.08,2,Human Resources,Female,No,No,3,Manufacturing Director,Divorced,7.0,75000,12,4,Low,4.0,1,High,2.0,8.0,0.71,3,No,Service
4874,104875,60.0,8.51,4,Life Sciences,Female,No,No,3,Sales Executive,Married,8.0,108333,20,2,Very High,7.0,2,Low,5.0,8.6,0.74,4,No,Service
4876,104877,39.0,7.48,4,Marketing,Female,No,No,2,Sales Executive,Married,1.0,200000,19,3,Very High,11.0,3,Medium,10.0,3.8,0.19,0,No,Service
4877,104878,53.0,7.69,3,Marketing,Male,Yes,No,3,Manufacturing Director,Married,5.0,433333,21,2,Low,22.0,2,High,21.0,5.9,0.48,3,Yes,Service
4880,104881,22.0,7.09,2,Human Resources,Male,Yes,No,2,Research Director,Single,4.0,8333,15,1,Low,0.0,2,High,0.0,5.9,0.39,2,No,Service
4882,104883,22.0,8.42,3,Technical Degree,Female,Yes,Yes,1,Manager,Married,3.0,25000,23,4,High,1.0,3,Low,1.0,5.4,0.35,1,Yes,Service
4884,104885,56.0,7.98,2,Life Sciences,Female,Yes,No,2,Laboratory Technician,Single,3.0,183333,9,3,Low,13.0,2,Low,13.0,4.6,0.27,2,No,Service
4885,104886,34.0,6.72,1,Other,Female,Yes,No,1,Laboratory Technician,Married,5.0,100000,23,1,Very Low,7.0,2,Low,3.0,5.2,0.44,3,Yes,Service
4887,104888,23.0,8.33,1,Life Sciences,Female,No,Yes,3,Manufacturing Director,Single,9.0,25000,21,1,Very Low,1.0,1,High,1.0,8.9,0.76,4,No,Product
4888,104889,29.0,9.95,1,Life Sciences,Male,No,No,4,Healthcare Representative,Married,4.0,116667,24,1,Very High,7.0,2,Low,4.0,6.6,0.54,1,No,Product
4889,104890,33.0,6.2,1,Other,Male,No,No,1,Research Director,Married,4.0,66667,20,1,Very High,4.0,1,Low,2.0,5.6,0.52,2,Yes,Product
4890,104891,31.0,7.9,1,Human Resources,Female,Yes,Yes,2,Research Scientist,Single,4.0,66667,16,2,Very High,3.0,2,Low,1.0,4.7,0.32,1,No,Product
4891,104892,48.0,7.08,2,Marketing,Male,Yes,No,1,Healthcare Representative,Married,1.0,391667,19,1,Very High,20.0,1,Medium,20.0,1.8,0.12,0,No,Service
4892,104893,40.0,2.02,1,Technical Degree,Female,Yes,Yes,4,Human Resources,Married,3.0,33333,22,4,Medium,2.0,4,High,1.0,5.5,0.36,1,Yes,Service
4895,104896,31.0,6.01,3,Other,Male,No,Yes,4,Human Resources,Divorced,3.0,75000,8,3,High,6.0,2,Medium,5.0,4.2,0.25,2,No,Service
4897,104898,24.0,8.92,5,Human Resources,Female,No,No,1,Manager,Single,6.0,16667,18,3,High,0.0,1,Medium,0.0,6.4,0.62,3,Yes,Service
4898,104899,21.0,10.7,4,Other,Male,No,No,3,Sales Representative,Divorced,5.0,33333,15,4,Very High,0.0,2,Medium,0.0,7.7,0.58,3,No,Service
4899,104900,32.0,10.9,4,Other,Female,Yes,No,1,Research Director,Married,1.0,1057,16,3,Very High,0.0,3,Low,0.0,3.3,0.16,0,No,Product
4901,104902,51.0,6.47,5,Human Resources,Female,No,No,3,Healthcare Representative,Divorced,6.0,433333,11,3,High,26.0,3,Low,7.0,6.6,0.59,2,No,Service
4902,104903,37.0,7.83,3,Medical,Male,Yes,No,2,Research Scientist,Married,4.0,225000,15,2,Very High,13.0,4,High,13.0,6.3,0.41,1,No,Product
4903,104904,34.0,7.22,4,Other,Male,Yes,No,2,Healthcare Representative,Divorced,1.0,58333,9,3,Very High,2.0,2,High,1.0,5.0,0.27,1,Yes,Product
4904,104905,46.0,9.96,1,Marketing,Female,Yes,No,1,Manufacturing Director,Divorced,7.0,100000,16,4,High,8.0,1,High,1.0,9.0,0.82,3,Yes,Product
4906,104907,24.0,9.91,1,Medical,Female,Yes,Yes,4,Sales Executive,Married,3.0,66667,17,3,Very Low,3.0,1,Medium,0.0,6.0,0.45,1,No,Product
4907,104908,42.0,6.97,1,Technical Degree,Female,No,No,2,Human Resources,Single,4.0,325000,13,3,Very High,18.0,2,Medium,15.0,4.7,0.36,1,No,Service
4909,104910,24.0,7.53,4,Medical,Female,No,No,4,Manager,Married,9.0,16667,14,4,Very Low,1.0,1,High,0.0,9.3,0.77,4,Yes,Service
4910,104911,34.0,6.61,1,Medical,Female,No,Yes,3,Human Resources,Divorced,5.0,25000,12,1,Low,1.0,2,Medium,0.0,5.7,0.37,2,Yes,Service
4911,104912,49.0,7.2,2,Life Sciences,Female,Yes,No,3,Laboratory Technician,Divorced,4.0,475000,7,2,Low,24.0,3,Medium,7.0,3.4,0.25,2,No,Product
4912,104913,54.0,6.37,1,Human Resources,Female,Yes,Yes,2,Sales Representative,Married,3.0,25000,19,1,Medium,1.0,1,High,0.0,5.0,0.27,2,Yes,Service
4913,104914,43.0,10.71,4,Medical,Male,Yes,No,2,Sales Executive,Single,3.0,150000,22,4,Low,6.0,4,Medium,6.0,4.6,0.37,1,Yes,Service
4915,104916,35.0,6.81,4,Marketing,Male,Yes,No,3,Manager,Single,2.0,175000,20,4,Very Low,8.0,1,Low,3.0,4.5,0.26,1,No,Service
4916,104917,45.0,6.9,5,Technical Degree,Male,Yes,No,2,Human Resources,Single,2.0,300000,25,2,Very Low,24.0,2,Low,0.0,3.1,0.19,1,Yes,Product
4917,104918,50.0,8.69,5,Other,Female,Yes,No,4,Human Resources,Single,4.0,400000,10,4,Low,23.0,3,High,15.0,5.8,0.49,2,No,Service
4919,104920,52.0,7.8,1,Technical Degree,Female,Yes,No,2,Research Director,Divorced,5.0,100000,25,2,Very Low,4.0,1,Low,4.0,6.3,0.48,3,No,Service
4920,104921,36.0,6.22,5,Life Sciences,Female,Yes,Yes,3,Laboratory Technician,Single,3.0,100000,11,2,High,6.0,1,High,1.0,6.5,0.48,1,Yes,Product
4921,104922,42.0,6.48,3,Other,Female,Yes,No,2,Research Director,Married,4.0,75000,19,1,Very Low,3.0,3,Low,0.0,5.6,0.49,2,Yes,Service
4922,104923,19.0,9.59,5,Medical,Male,Yes,No,1,Sales Executive,Married,3.0,33333,7,1,High,0.0,3,Medium,0.0,3.9,0.27,2,No,Product
4925,104926,45.0,6.41,2,Human Resources,Female,No,No,2,Human Resources,Married,2.0,50000,16,1,Very High,3.0,2,Medium,3.0,1.2,0.01,1,No,Product
4926,104927,37.0,6.37,2,Medical,Male,Yes,Yes,3,Human Resources,Single,4.0,158333,11,3,High,6.0,3,High,3.0,6.7,0.45,2,No,Service
4928,104929,33.0,6.99,3,Medical,Female,Yes,No,4,Sales Representative,Single,8.0,75000,15,1,Very Low,5.0,4,Low,5.0,6.2,0.54,4,No,Service
4929,104930,35.0,6.11,4,Other,Female,No,Yes,1,Manager,Single,8.0,41667,17,4,Very High,2.0,4,Medium,1.0,7.4,0.72,5,Yes,Service
4930,104931,39.0,6.29,3,Technical Degree,Male,Yes,No,4,Research Director,Divorced,4.0,208333,8,3,Very High,8.0,3,Low,3.0,6.0,0.44,2,No,Service
4931,104932,21.0,7.38,1,Other,Female,No,No,4,Research Director,Single,4.0,41667,9,3,Medium,3.0,2,High,0.0,4.3,0.3,2,No,Service
4932,104933,47.0,6.0,2,Human Resources,Female,Yes,Yes,3,Human Resources,Single,5.0,100000,13,2,Medium,4.0,4,Medium,3.0,6.3,0.39,2,No,Service
4934,104935,53.0,6.2,5,Medical,Male,Yes,No,1,Manager,Single,3.0,50000,24,2,Very High,3.0,4,Medium,1.0,4.8,0.34,1,Yes,Service
4937,104938,38.0,6.18,4,Human Resources,Female,No,No,4,Human Resources,Single,6.0,208333,14,3,Very Low,14.0,1,Low,12.0,5.9,0.53,2,Yes,Service
4938,104939,48.0,10.2,4,Technical Degree,Male,No,No,3,Sales Representative,Single,6.0,333333,13,1,Very High,16.0,4,Medium,4.0,7.2,0.56,2,No,Service
4939,104940,50.0,6.5,2,Other,Male,No,No,3,Human Resources,Single,5.0,275000,16,2,Very High,14.0,2,High,5.0,4.5,0.39,3,Yes,Product
4940,104941,50.0,6.81,2,Marketing,Female,Yes,Yes,4,Manufacturing Director,Single,3.0,258333,23,2,High,14.0,2,Medium,9.0,5.1,0.4,1,No,Service
4941,104942,48.0,6.99,1,Marketing,Female,Yes,No,3,Manager,Married,6.0,108333,18,2,Medium,7.0,1,High,1.0,7.4,0.54,3,No,Product
4942,104943,54.0,6.61,2,Marketing,Male,No,No,4,Research Scientist,Married,4.0,33333,7,1,Very Low,0.0,2,Medium,0.0,3.8,0.27,2,No,Service
4943,104944,52.0,7.8,1,Marketing,Female,Yes,Yes,3,Sales Representative,Divorced,9.0,483333,24,4,Very Low,25.0,2,High,2.0,10.0,1.0,4,No,Service
4944,104945,37.0,6.92,5,Medical,Female,No,Yes,4,Manager,Divorced,8.0,283333,9,4,Medium,15.0,1,Low,11.0,7.3,0.74,4,Yes,Product
4947,104948,60.0,8.13,4,Human Resources,Male,Yes,Yes,3,Manager,Divorced,3.0,100000,22,2,Very High,4.0,1,Low,2.0,3.5,0.2,2,No,Service
4948,104949,20.0,6.2,5,Medical,Female,Yes,Yes,1,Laboratory Technician,Single,5.0,16667,11,4,Medium,1.0,4,High,1.0,4.8,0.39,3,No,Product
4950,104951,52.0,10.98,4,Other,Male,Yes,Yes,2,Manufacturing Director,Married,4.0,316667,11,1,Medium,22.0,2,High,7.0,6.6,0.44,2,Yes,Product
4952,104953,28.0,7.9,5,Marketing,Female,Yes,No,3,Healthcare Representative,Married,1.0,166667,12,3,Very High,7.0,4,Medium,3.0,2.1,0.17,0,No,Service
4953,104954,26.0,7.38,4,Medical,Female,Yes,Yes,4,Manufacturing Director,Single,3.0,108333,20,1,High,4.0,1,Medium,2.0,4.4,0.32,0,No,Product
4956,104957,27.0,7.82,5,Human Resources,Male,Yes,Yes,1,Human Resources,Married,4.0,33333,24,4,Medium,0.0,3,Medium,0.0,4.9,0.38,1,No,Product
4958,104959,57.0,7.12,1,Other,Female,No,No,2,Human Resources,Married,6.0,316667,14,1,Very Low,25.0,3,Low,14.0,6.3,0.51,3,Yes,Service
4959,104960,48.0,7.41,5,Other,Female,No,No,3,Sales Executive,Married,5.0,158333,17,4,Very High,11.0,4,Low,10.0,5.2,0.42,2,No,Product
4960,104961,18.0,7.79,3,Human Resources,Male,No,Yes,2,Manager,Single,6.0,33333,18,1,High,0.0,4,High,0.0,6.9,0.52,3,No,Product
4961,104962,57.0,9.91,2,Life Sciences,Male,No,Yes,2,Healthcare Representative,Married,7.0,91667,25,1,Very High,7.0,2,High,5.0,7.0,0.63,4,Yes,Service
4962,104963,18.0,6.6,3,Life Sciences,Male,Yes,No,3,Laboratory Technician,Divorced,3.0,33333,20,3,Very High,0.0,1,Low,0.0,4.6,0.35,1,Yes,Service
4963,104964,44.0,8.13,4,Human Resources,Male,Yes,No,3,Research Scientist,Divorced,2.0,358333,18,2,Very High,23.0,3,Medium,2.0,3.2,0.25,1,Yes,Product
4966,104967,58.0,6.59,4,Life Sciences,Female,No,Yes,3,Research Director,Married,5.0,400000,17,2,Very Low,32.0,3,Low,2.0,6.2,0.57,2,No,Service
4967,104968,44.0,10.4,2,Human Resources,Male,No,No,4,Research Director,Married,4.0,116667,15,2,Medium,7.0,1,Low,4.0,6.0,0.51,1,No,Service
4968,104969,29.0,7.98,4,Marketing,Male,No,Yes,2,Sales Executive,Single,6.0,16667,10,4,Low,0.0,3,Low,0.0,6.2,0.59,3,No,Product
4970,104971,19.0,7.1,3,Technical Degree,Male,No,No,2,Laboratory Technician,Married,5.0,16667,10,2,Very High,1.0,3,Medium,0.0,7.5,0.58,2,Yes,Service
4972,104973,48.0,7.59,1,Life Sciences,Female,Yes,Yes,4,Laboratory Technician,Divorced,4.0,283333,17,4,High,14.0,1,High,12.0,5.2,0.42,2,No,Service
4973,104974,31.0,10.27,4,Other,Male,No,No,1,Research Scientist,Married,6.0,191667,11,2,High,8.0,1,Low,6.0,6.0,0.52,3,No,Service
4974,104975,52.0,6.67,1,Marketing,Male,Yes,No,3,Laboratory Technician,Divorced,5.0,25000,11,1,Very High,0.0,4,Medium,0.0,6.2,0.44,2,No,Service
4977,104978,22.0,7.47,4,Life Sciences,Male,Yes,Yes,4,Healthcare Representative,Divorced,5.0,25000,11,3,Very High,1.0,3,Low,1.0,8.2,0.65,3,No,Product
4978,104979,59.0,6.0,3,Life Sciences,Male,No,Yes,4,Manufacturing Director,Divorced,5.0,575000,7,3,Very High,34.0,4,Low,28.0,5.3,0.37,2,No,Service
4979,104980,39.0,8.42,3,Other,Male,No,Yes,4,Manufacturing Director,Divorced,4.0,316667,13,1,High,16.0,3,Low,9.0,6.7,0.45,2,Yes,Service
4980,104981,54.0,7.98,1,Human Resources,Female,Yes,No,3,Sales Representative,Divorced,4.0,191667,15,3,High,7.0,3,High,2.0,7.1,0.5,2,No,Service
4981,104982,34.0,10.78,5,Other,Male,Yes,No,3,Laboratory Technician,Married,4.0,158333,16,2,Medium,9.0,1,High,7.0,5.4,0.33,2,No,Service
4982,104983,58.0,6.95,3,Human Resources,Female,Yes,No,4,Human Resources,Married,1.0,291667,11,1,Low,14.0,1,Medium,12.0,0.9,0.05,0,Yes,Product
4983,104984,57.0,6.37,5,Human Resources,Male,Yes,Yes,2,Healthcare Representative,Married,6.0,591667,16,2,Very High,29.0,3,High,15.0,6.5,0.46,3,Yes,Service
4984,104985,53.0,9.32,2,Medical,Female,Yes,Yes,1,Laboratory Technician,Divorced,6.0,91667,25,2,Very High,5.0,3,High,3.0,6.7,0.63,2,Yes,Service
4986,104987,33.0,7.78,4,Life Sciences,Male,No,No,1,Human Resources,Divorced,4.0,25000,13,4,Low,2.0,1,High,2.0,6.3,0.62,2,No,Service
4988,104989,58.0,6.47,4,Human Resources,Male,Yes,No,4,Healthcare Representative,Divorced,4.0,541667,23,4,Very Low,33.0,1,High,29.0,6.6,0.47,2,No,Service
4989,104990,54.0,6.0,2,Human Resources,Male,No,Yes,4,Sales Executive,Single,2.0,66667,13,3,Very High,4.0,4,High,3.0,2.8,0.1,2,Yes,Service
4990,104991,40.0,7.17,5,Other,Female,No,Yes,2,Human Resources,Single,6.0,116667,24,2,Very Low,6.0,4,Medium,1.0,6.5,0.58,4,Yes,Product
4991,104992,50.0,9.77,5,Technical Degree,Male,Yes,No,3,Sales Executive,Single,5.0,416667,23,3,Very Low,20.0,2,High,16.0,5.9,0.48,3,No,Product
4992,104993,21.0,7.0,5,Medical,Male,Yes,No,3,Research Scientist,Divorced,3.0,25000,19,3,Very High,1.0,1,High,0.0,4.4,0.36,1,Yes,Service
4993,104994,35.0,6.2,3,Medical,Female,No,Yes,2,Research Director,Divorced,4.0,16667,10,1,Very Low,1.0,2,Low,0.0,6.1,0.43,2,Yes,Service
4994,104995,23.0,7.18,3,Medical,Female,Yes,No,4,Human Resources,Divorced,4.0,25000,20,4,Low,1.0,1,Medium,1.0,5.8,0.39,2,No,Service
4995,104996,58.0,6.78,1,Marketing,Female,No,No,3,Research Director,Married,2.0,150000,14,1,Medium,11.0,2,Medium,1.0,6.0,0.42,1,Yes,Service
4996,104997,19.0,7.3,1,Life Sciences,Male,Yes,No,3,Laboratory Technician,Single,4.0,16667,20,3,Low,0.0,1,High,0.0,4.6,0.4,2,No,Service
4997,104998,50.0,10.27,5,Life Sciences,Male,Yes,Yes,1,Human Resources,Divorced,2.0,200000,20,1,High,11.0,1,Low,3.0,5.8,0.45,1,No,Service
4999,105000,36.0,7.27,5,Marketing,Male,No,Yes,2,Sales Representative,Single,7.0,208333,23,3,Low,8.0,3,Low,1.0,8.8,0.7,4,No,Service
5000,105001,48.0,8.4,3,Human Resources,Male,No,Yes,1,Research Director,Single,5.0,250000,11,2,Very Low,17.0,2,Medium,4.0,7.3,0.67,3,No,Product
5001,105002,22.0,7.18,1,Human Resources,Female,No,No,1,Laboratory Technician,Married,4.0,33333,18,4,Very High,0.0,1,Low,0.0,6.9,0.5,2,No,Product
5002,105003,36.0,7.32,4,Human Resources,Female,Yes,Yes,3,Manufacturing Director,Married,4.0,300000,7,2,Medium,15.0,3,High,10.0,5.2,0.39,2,Yes,Service
5003,105004,26.0,9.97,5,Other,Male,Yes,No,4,Human Resources,Single,4.0,83333,22,1,Low,4.0,2,High,1.0,3.2,0.15,2,Yes,Product
5004,105005,54.0,7.59,3,Human Resources,Female,No,Yes,4,Research Director,Married,3.0,341667,19,3,Very Low,22.0,3,Medium,19.0,6.1,0.42,2,No,Service
5005,105006,48.0,9.61,5,Marketing,Female,No,Yes,2,Manager,Divorced,6.0,225000,15,2,Medium,16.0,1,High,10.0,7.1,0.69,2,Yes,Service
5006,105007,59.0,9.08,3,Other,Female,Yes,No,3,Laboratory Technician,Married,5.0,591667,19,2,Medium,30.0,3,Medium,21.0,6.7,0.59,2,No,Service
5008,105009,52.0,2.12,3,Life Sciences,Female,No,No,4,Research Director,Married,1.0,250000,10,3,Very Low,12.0,4,Medium,10.0,0.0,0.0,0,No,Service
5009,105010,26.0,6.99,5,Human Resources,Male,Yes,No,1,Laboratory Technician,Married,4.0,25000,12,1,High,1.0,2,Medium,1.0,8.4,0.66,2,No,Product
5011,105012,44.0,10.4,1,Medical,Male,Yes,No,1,Manufacturing Director,Married,4.0,258333,25,3,High,13.0,1,Low,5.0,5.2,0.42,1,Yes,Product
5012,105013,60.0,8.68,2,Other,Male,No,No,4,Manager,Single,6.0,483333,20,1,Low,26.0,3,Low,14.0,7.0,0.65,2,No,Service
5013,105014,36.0,10.41,2,Medical,Female,No,Yes,3,Sales Representative,Divorced,3.0,16667,17,3,High,0.0,1,High,0.0,6.0,0.39,2,No,Product
5014,105015,39.0,10.98,4,Other,Female,Yes,Yes,1,Research Scientist,Single,1.0,225000,16,3,Medium,18.0,4,Medium,13.0,0.0,0.0,1,No,Product
5015,105016,21.0,8.9,1,Medical,Male,Yes,Yes,3,Sales Executive,Single,7.0,50000,14,1,High,3.0,2,High,3.0,6.5,0.61,3,No,Service
5017,105018,39.0,6.01,3,Medical,Female,No,Yes,1,Sales Representative,Divorced,6.0,208333,18,2,High,16.0,2,High,9.0,6.1,0.49,3,Yes,Service
5018,105019,59.0,6.77,4,Other,Female,No,Yes,3,Research Scientist,Divorced,6.0,408333,14,2,Very High,28.0,2,Low,14.0,7.0,0.59,3,Yes,Product
5019,105020,29.0,7.29,1,Marketing,Male,Yes,Yes,4,Research Director,Divorced,1.0,183333,24,2,Very High,7.0,3,Low,4.0,2.0,0.08,1,No,Service
5021,105022,58.0,6.11,2,Medical,Male,Yes,Yes,1,Sales Representative,Single,5.0,7666670,9,4,Very High,37.0,3,High,22.0,5.6,0.53,2,No,Service
5023,105024,33.0,7.39,3,Marketing,Female,Yes,Yes,2,Laboratory Technician,Single,5.0,175000,13,1,Low,10.0,3,Medium,9.0,5.7,0.48,2,Yes,Product
5025,105026,24.0,6.13,5,Medical,Female,Yes,No,3,Manufacturing Director,Single,4.0,58333,21,2,Low,3.0,2,Low,3.0,5.8,0.33,1,No,Product
5026,105027,58.0,9.6,2,Medical,Male,Yes,No,3,Healthcare Representative,Married,4.0,291667,16,3,Very High,10.0,3,High,1.0,8.4,0.64,2,Yes,Service
5027,105028,18.0,9.53,5,Marketing,Male,Yes,Yes,4,Manager,Divorced,2.0,33333,24,1,Very High,0.0,4,Medium,0.0,4.3,0.24,1,Yes,Service
5028,105029,49.0,9.68,1,Other,Male,Yes,No,4,Human Resources,Single,3.0,350000,10,1,Very High,26.0,1,Medium,26.0,3.3,0.27,1,No,Service
5029,105030,31.0,6.72,3,Life Sciences,Female,Yes,No,2,Sales Representative,Single,6.0,16667,16,1,Medium,1.0,4,Low,0.0,7.8,0.64,3,Yes,Service
5030,105031,26.0,7.69,3,Human Resources,Male,No,Yes,4,Sales Executive,Married,1.0,16667,15,3,Very Low,1.0,3,Medium,0.0,2.2,0.11,1,No,Service
5031,105032,42.0,6.58,5,Medical,Female,Yes,Yes,2,Human Resources,Single,5.0,108333,19,1,Very High,4.0,2,High,3.0,5.4,0.4,3,No,Service
5032,105033,56.0,6.04,5,Life Sciences,Male,Yes,No,1,Manager,Single,3.0,116667,21,2,Low,9.0,2,High,2.0,5.8,0.38,1,Yes,Service
5034,105035,43.0,6.9,2,Life Sciences,Female,No,Yes,3,Manufacturing Director,Married,4.0,233333,17,3,Medium,12.0,3,Low,5.0,5.0,0.31,3,No,Service
5035,105036,42.0,7.37,1,Technical Degree,Female,Yes,Yes,1,Sales Executive,Married,2.0,41667,15,3,Very High,3.0,2,High,0.0,3.9,0.19,1,No,Service
5038,105039,46.0,10.8,3,Human Resources,Male,Yes,No,4,Sales Representative,Single,5.0,350000,14,4,Very Low,20.0,4,High,17.0,7.3,0.55,2,No,Service
5039,105040,43.0,7.67,1,Other,Male,No,Yes,1,Sales Executive,Single,7.0,433333,17,1,Very High,21.0,3,Medium,19.0,7.5,0.59,4,Yes,Product
5040,105041,58.0,7.52,3,Technical Degree,Female,Yes,No,4,Laboratory Technician,Divorced,5.0,25000,8,4,High,1.0,1,High,0.0,5.7,0.48,3,No,Service
5043,105044,22.0,7.72,1,Technical Degree,Female,Yes,No,3,Manager,Divorced,4.0,16667,25,1,Medium,1.0,3,Low,0.0,5.8,0.41,2,Yes,Product
5045,105046,24.0,6.82,3,Medical,Female,Yes,Yes,2,Sales Representative,Married,2.0,41667,18,4,Very High,2.0,3,Low,0.0,5.0,0.28,1,No,Service
5046,105047,37.0,6.9,2,Life Sciences,Male,No,No,1,Manager,Single,5.0,66667,25,3,Very Low,5.0,2,Medium,5.0,6.7,0.5,3,No,Service
5048,105049,24.0,9.68,2,Life Sciences,Female,No,No,1,Sales Representative,Single,4.0,25000,15,2,High,0.0,4,High,0.0,6.0,0.53,2,Yes,Service
5049,105050,23.0,7.1,3,Life Sciences,Female,No,Yes,3,Sales Executive,Married,10.0,25000,12,1,High,0.0,2,Low,0.0,8.4,0.82,5,No,Product
5051,105052,32.0,7.71,1,Technical Degree,Female,Yes,No,1,Healthcare Representative,Divorced,8.0,91667,22,3,Very High,4.0,2,High,4.0,7.6,0.58,4,Yes,Service
5052,105053,52.0,6.41,3,Human Resources,Male,Yes,No,4,Sales Executive,Divorced,7.0,16667,22,1,Medium,1.0,4,High,1.0,7.1,0.55,3,Yes,Product
5053,105054,56.0,7.3,5,Human Resources,Female,Yes,Yes,3,Manufacturing Director,Married,3.0,83333,7,4,Very High,3.0,2,High,0.0,5.0,0.34,2,No,Service
5054,105055,33.0,6.78,5,Human Resources,Male,Yes,No,2,Research Director,Single,3.0,133333,9,2,Medium,5.0,2,High,0.0,6.5,0.46,1,No,Product
5055,105056,55.0,8.8,5,Technical Degree,Female,Yes,Yes,3,Research Scientist,Single,3.0,483333,19,3,Low,25.0,2,High,16.0,4.9,0.4,2,Yes,Service
5056,105057,37.0,10.67,4,Marketing,Female,Yes,Yes,1,Human Resources,Single,6.0,216667,7,2,High,9.0,3,High,0.0,8.4,0.65,3,No,Service
5057,105058,36.0,6.08,2,Human Resources,Male,No,No,4,Research Director,Single,5.0,200000,25,3,Very High,12.0,3,Medium,11.0,4.5,0.35,3,No,Service
5058,105059,21.0,8.68,3,Technical Degree,Female,No,No,1,Sales Executive,Single,6.0,66667,10,2,High,3.0,3,Medium,3.0,6.5,0.49,3,Yes,Service
5059,105060,47.0,6.11,2,Technical Degree,Female,Yes,No,2,Research Scientist,Married,1.0,141667,25,1,Very High,9.0,4,Low,9.0,3.6,0.16,0,No,Service
5060,105061,55.0,7.59,4,Other,Female,Yes,No,3,Laboratory Technician,Single,4.0,550000,17,1,Very High,33.0,1,Low,31.0,5.0,0.45,2,No,Service
5061,105062,23.0,6.8,1,Human Resources,Female,Yes,No,3,Research Director,Single,3.0,16667,14,4,Very Low,0.0,4,Low,0.0,2.7,0.12,2,No,Service
5065,105066,41.0,9.29,4,Marketing,Female,No,Yes,4,Laboratory Technician,Single,5.0,125000,14,4,Very Low,8.0,3,Medium,3.0,6.0,0.52,2,No,Product
5066,105067,38.0,7.4,4,Technical Degree,Female,No,No,3,Human Resources,Married,1.0,50000,22,4,Very High,2.0,2,Medium,2.0,0.8,0.07,1,No,Service
5067,105068,24.0,7.68,5,Human Resources,Female,Yes,Yes,1,Human Resources,Married,3.0,16667,23,3,High,1.0,3,Low,1.0,3.7,0.3,0,No,Service
5068,105069,27.0,8.89,2,Life Sciences,Male,No,No,3,Research Director,Single,6.0,25000,14,4,Very High,1.0,4,Low,1.0,4.9,0.34,3,No,Service
5069,105070,39.0,7.1,1,Medical,Female,No,Yes,4,Manufacturing Director,Single,6.0,50000,22,3,Low,2.0,3,Low,1.0,6.8,0.57,3,No,Product
5070,105071,51.0,6.62,2,Marketing,Male,Yes,No,3,Sales Executive,Divorced,6.0,91667,8,1,Very High,5.0,2,Medium,4.0,6.4,0.43,3,Yes,Service
5071,105072,56.0,7.97,2,Marketing,Male,No,No,4,Human Resources,Divorced,6.0,550000,25,1,Very Low,32.0,3,Low,27.0,8.0,0.63,4,Yes,Service
5073,105074,32.0,7.67,5,Technical Degree,Male,Yes,No,3,Manager,Divorced,5.0,150000,14,3,Low,8.0,4,Low,8.0,5.0,0.4,3,Yes,Service
5074,105075,32.0,10.99,4,Human Resources,Male,Yes,No,2,Human Resources,Divorced,6.0,108333,14,2,Very Low,8.0,3,Low,4.0,6.6,0.56,3,Yes,Service
5075,105076,59.0,10.7,1,Human Resources,Female,No,No,3,Research Director,Divorced,10.0,491667,23,3,High,29.0,4,Medium,20.0,8.5,0.84,5,No,Product
5078,105079,54.0,6.02,2,Marketing,Male,Yes,Yes,4,Sales Executive,Divorced,2.0,208333,19,4,High,12.0,4,Medium,12.0,2.3,0.08,1,No,Service
5082,105083,29.0,6.09,4,Other,Female,Yes,Yes,2,Human Resources,Single,4.0,16667,15,3,Low,1.0,2,High,0.0,4.9,0.34,2,No,Product
5083,105084,26.0,10.07,3,Technical Degree,Female,No,No,2,Manager,Married,7.0,25000,8,3,Very High,1.0,2,Low,1.0,8.0,0.68,3,No,Service
